pkuppens/on_prem_rag	On-Premises RAG Solution: Talk with your documents and data without the Cloud concerns	private	2025-08-14T11:12:51Z
pkuppens/chrome_extensions	Create one or more Chrome Extensions for personal use based on RAG document storage and retrieval	private	2025-07-20T20:35:39Z
pkuppens/langflow_org	Create an Organization of AI Agents with LangFlow/AutoGen	private	2025-07-19T12:01:41Z
pkuppens/context_engineering	Exploring Context Engineering	private	2025-07-17T06:19:29Z
pkuppens/gemini_agent	Datacation Deep Dive Google Gemini Agent Workshop	private	2025-07-15T08:21:07Z
pkuppens/job_hunt	Automating Job Hunting tasks with AI Agents. Optimize Job Hunt searches and applications.	private	2025-07-07T15:29:17Z
pkuppens/healthcare-aigent	Healthcare AI Agent system proof of concept	public	2025-07-04T10:22:36Z
pkuppens/angiogenesis-analytics	My repo for angiogenesis analytics	private	2025-06-30T07:44:58Z
pkuppens/gmail_summarize_draft	Processing My GMail	private	2025-06-14T15:52:38Z
pkuppens/pkuppens	Special repo to add a README.md to my public profile	public	2025-06-12T12:28:01Z
pkuppens/my_chat_gpt	Collection of ChatGPT experiments	public	2025-05-30T12:32:20Z
pkuppens/WBSO-AICM-2025-01	Framework voor AI-agenten in interactieve, datacontext-rijke en veilige communicatiesystemen	private	2025-05-22T15:29:54Z
pkuppens/motivatie-brieven-ai	Voor het schrijven van motivatie brieven met behulp van AI	private	2025-05-16T14:05:34Z
pkuppens/datacation-chatbot-workspace		public	2025-05-12T13:26:29Z
pkuppens/templify	Advanced templating features made simple	public	2025-04-15T06:30:30Z
pkuppens/miiablo	Miiablo: Browser-Based Action RPG	public	2025-03-31T21:48:59Z
pkuppens/vibe_farmer	Vibe Coded Farming Game	public	2025-03-26T09:14:12Z
pkuppens/genai-hackathon	Code for the 2024 GenAI Works Hackathon #BuildWithAI	public	2025-03-18T15:17:53Z
pkuppens/ChatRTX	A developer reference project for creating Retrieval Augmented Generation (RAG) chatbots on Windows using TensorRT-LLM	public, fork	2025-02-21T10:59:49Z
pkuppens/ai-agents-masterclass	Follow along with Cole Medin AI Agents Masterclass videos! All of the code I create and use in this series on YouTube will be here for you to use and even build on top of!	public, fork	2025-01-14T16:15:41Z
pkuppens/hl7		private	2023-08-28T19:00:38Z
pkuppens/mlflow_transaction_monitoring	MLFlow project for anomaly and fraud detection in financial transactions, exploration on the kaggle synthetic financial dataset for fraud detection	public	2023-06-21T11:03:39Z
pkuppens/networkx	Network Analysis in Python	public, fork	2023-04-25T10:17:26Z
pkuppens/system_design	Code with personal tweaks from the freeCodeCamp: Microservice Architecture and System Design with Python & Kubernetes	private	2023-04-19T13:06:56Z
pkuppens/power-grid-model-io	Conversion tool for various grid data formats to power-grid-model	public, fork	2023-02-21T14:40:33Z
pkuppens/unetcart		private	2021-02-22T19:10:03Z
pkuppens/nnUNet		public, fork	2021-01-25T15:57:13Z
